Year,County,Yield_Bu_Acre,PCT_PLANTED_April,PCT_PLANTED_December,PCT_PLANTED_February,PCT_PLANTED_January,PCT_PLANTED_March,PCT_PLANTED_November,PCT_PLANTED_October,PCT_PLANTED_September
2000,HOCKLEY,23.8,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2006,HOWARD,15.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,HOWARD,23.3,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,HOWARD,15.0,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,HOWARD,14.4,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,HOWARD,18.8,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,HOWARD,28.3,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,HOWARD,19.0,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
2007,LAMB,54.0,2007.0,2007.0,2007.0,2007.0,2007.0,92.0,84.0,41.0
2006,LAMB,38.0,2006.0,2006.0,2006.0,2006.0,2006.0,88.0,84.0,41.0
2005,LAMB,39.3,2005.0,2005.0,2005.0,2005.0,2005.0,91.0,83.0,61.0
2004,LAMB,31.4,2004.0,2004.0,2004.0,2004.0,2004.0,91.0,84.0,55.0
2003,LAMB,33.2,2003.0,2003.0,2003.0,2003.0,2003.0,93.0,83.0,52.0
2002,LAMB,24.2,2002.0,2002.0,2002.0,2002.0,2002.0,95.0,87.0,59.0
2001,LAMB,37.5,2001.0,2001.0,2001.0,2001.0,2001.0,87.0,70.0,22.0
2000,LAMB,32.3,2000.0,2000.0,2000.0,2000.0,2000.0,92.0,77.0,40.0
